Application Typical,Workplace (WP),Application,Number,Code,Reference Image ,Main Product Line,Secondary Product Line,Seating,Internal Owner,Approval,Split to series typicals,
AT,WP,OP - Open Plan,37,ATWPOP37,ATWPOP37.jpg,Compile,,Factor,DS,,,
AT,WP,OP - Open Plan,22,ATWPOP22,ATWPOP22.png,Evolve,,Aspen,DS,Under Review,,
AT,WP,OP - Open Plan,25,ATWPOP25,ATWPOP25R01.png,Evolve,Freefit,Factor,JF,Approved,,
AT,WP,OP - Open Plan,43,ATWPOP43,ATWPOP43.jpeg,Evolve,Laminate Storage,Noetic,DS,,,
AT,WP,OP - Open Plan,44,ATWPOP44,ATWPOP44.png,Evolve,,Vion,DS,,,
AT,WP,OP - Open Plan,45,ATWPOP45,ATWPOP45.png,Evolve,,Vion,DS,,,
AT,WP,OP - Open Plan,01,ATWPOP01,ATWPOP01R01.png,Freefit,Princeton,Noetic,JF,Approved,,
AT,WP,OP - Open Plan,05,ATWPOP05,ATWPOP05R01.png,Freefit,River +,Global Accord,JF,Approved,X,
AT,WP,OP - Open Plan,06,ATWPOP06,ATWPOP06R01.png,Freefit,Collaborative Spaces,Factor,JF,Approved,X,
AT,WP,OP - Open Plan,03,ATWPOP03,ATWPOP03R01.png,Softpod,n/a,Solar,JF,Approved,,
AT,WP,OP - Open Plan,04,ATWPOP04,ATWPOP04R01.png,Softpod,n/a,Noetic,JF,Approved,,
AT,WP,OP - Open Plan,38,ATWPOP38,ATWPOP38R01.png,Softpod,Rambler,Noetic,JF,,,
AT,WP,OP - Open Plan,39,ATWPOP39,ATWPOP39R01.png,Softpod,Rambler,Noetic,JF,,,
AT,WP,OP - Open Plan,40,ATWPOP40,ATWPOP40R01.png,Softpod,Rambler,Noetic,JF,,,
AT,WP,OP - Open Plan,41,ATWPOP41,ATWPOP41R01.png,Softpod,Rambler,Noetic,JF,,,
AT,WP,OP - Open Plan,42,ATWPOP42,ATWPOP42R01.png,Softpod,Collaborative Spaces,Factor,JF,,,
AT,WP,PO - Private Offices,10,ATWPPO10,ATWPPO10.jpg,B1,,,DS,,,
AT,WP,PO - Private Offices,11,ATWPPO11,ATWPPO11.jpg,B1,,,DS,,,
AT,WP,PO - Private Offices,12,ATWPPO12,ATWPPO12.png,B1,,,DS,,,
AT,WP,PO - Private Offices,13,ATWPPO13,ATWPPO13.jpg,B1,,,DS,,,
AT,WP,PO - Private Offices,14,ATWPPO14,ATWPPO14.jpg,B1,,,DS,,,
