Series,Part Number,Name,Subcategory,Images,Comments
Auburn,3767,High Back Tilter,Task Seating,TRUE,
Arturo,3991,Extended High Back Tilter,Task Seating,TRUE,
Arturo,3992,High Back Tilter ,Task Seating,TRUE,
Arturo,3993,Low Back Tilter,Task Seating,TRUE,
Concorde,2400-18,High Back Executive Multi-Tilter,Task Seating,TRUE,
Concorde,2409,High Back Presidential Synchro-Tilter,Task Seating,TRUE,
Concorde,2424,High Back 24HR Executive Synchro-Tilter,Heavy Duty + 24HR Seating,TRUE,
Concorde,2424-18,"High Back 24HR Executive Synchro-Tilter, Deep Seat",Heavy Duty + 24HR Seating,TRUE,
Solo,5225,Armchair ,Armchairs,TRUE,
Solo,5227,High Back Tilter,Task Seating,TRUE,
Solo,5228,Low Back Tilter,Task Seating,TRUE,
Enterprise,4560,High Back Tilter,Task Seating,TRUE,
Enterprise,4561,Medium Back Tilter,Task Seating,TRUE,
Enterprise,4565,Cantilever Armchair,Armchairs,TRUE,
Enterprise,4570-3,High Back Multi-Tilter,Task Seating,TRUE,
Enterprise,4571-3,Medium Back Multi-Tilter,Task Seating,TRUE,
Supra,5330-2,High Back Knee-Tilter,Task Seating,TRUE,
Supra,5330-4,High Back Tilter,Task Seating,TRUE,
Supra,5331-2,Medium Back Knee Tilter,Task Seating,TRUE,
Supra,5331-4,Medium Back Tilter,Task Seating,TRUE,
Supra,5332,Armchair ,Armchairs,TRUE,
Supra,5332C,"Armchair, Casters",Armchairs,TRUE,
Supra,5335,Cantilever Armchair,Armchairs,TRUE,
Traditional,3720,Queen Anne Style High Back Tilter ,Task Seating,TRUE,
Traditional,3722,Banker's Style Armchair ,Armchairs,TRUE,
Traditional,3742,Martha Washington Style Low Back Armchair ,Armchairs,TRUE,
Noetic,6070,Mesh Back Multi-Tilter,Task Seating,TRUE,
Noetic,6070NA,Armless Mesh Back Multi-Tilter,Task Seating,TRUE,
Noetic,6071,Upholstered Back Multi-Tilter,Task Seating,TRUE,
Noetic,6071NA,Armless Upholstered Back Multi-Tilter ,Task Seating,TRUE,
Noetic,6072,Mesh Back Task Basic Swivel,Task Seating,TRUE,
Noetic,6072NA,Armless Mesh Back Task Basic Swivel,Task Seating,TRUE,
Noetic,6073,Upholstered Back Task Basic Swivel ,Task Seating,TRUE,
Noetic,6073NA,Armless Upholstered Back Task Basic Swivel,Task Seating,TRUE,
Noetic,6074,Mesh Back Weight Sensing Synchro-Tilter ,Task Seating,TRUE,
Noetic,6074NA,Armless Mesh Back Weight Sensing Synchro-Tilter,Task Seating,TRUE,
Noetic,6075,Upholstered Back Weight Sensing Synchro-Tilter,Task Seating,TRUE,
Noetic,6075NA,Armless Upholstered Back Weight Sensing Synchro-Tilter,Task Seating,TRUE,
Noetic,6076,Mesh Back Height Adjustable Stool ,Stools,TRUE,
Noetic,6076NA,Armless Mesh Back Height Adjustable Stool,Armless Stools,TRUE,
Noetic,6077,Upholstered Back Height Adjustable Stool,Stools,TRUE,
Noetic,6077NA,Armless Upholstered Back Height Adjustable Stool,Armless Stools,TRUE,
Vion,6321-0,Mesh High Back Synchro-Tilter,Task Seating,TRUE,
Vion,6321-3,Mesh High Back Multi-Tilter ,Task Seating,TRUE,
Vion,6321-4,Mesh High Back Tilter,Task Seating,TRUE,
Vion,6321-6,Mesh High Back Task,Task Seating,TRUE,
Vion,6321-8,Mesh High Back Weight Sensing Synchro-Tilter ,Task Seating,TRUE,
Vion,6322-0,Mesh Medium Back Synchro-Tilter,Task Seating,TRUE,
Vion,6322-3,Mesh Medium Back Multi-Tilter,Task Seating,TRUE,
Vion,6322-4,Mesh Medium Back Tilter ,Task Seating,TRUE,
Vion,6322-6,Mesh Medium Back Task,Task Seating,TRUE,
Vion,6322-8,Mesh Medium Back Weight Sensing Synchro-Tilter,Task Seating,TRUE,
Vion,6323-6,Armless Mesh Medium Back Task,Task Seating,TRUE,
Vion,6331-0,Upholstered High Back Synchro-Tilter,Task Seating,TRUE,
Vion,6331-3,Upholstered High Back Multi-Tilter ,Task Seating,TRUE,
Vion,6331-4,Upholstered High Back Tilter,Task Seating,TRUE,
Vion,6331-6,Upholstered High Back Task,Task Seating,TRUE,
Vion,6331-8,Upholstered High Back Weight Sensing Synchro-Tilter,Task Seating,TRUE,
Vion,6332-0,Upholstered Medium Back Synchro-Tilter,Task Seating,TRUE,
Vion,6332-3,Upholstered Medium Back Multi-Tilter ,Task Seating,TRUE,
Vion,6332-4,Upholstered Medium Back Tilter,Task Seating,TRUE,
Vion,6332-6,Upholstered Medium Back Task,Task Seating,TRUE,
Vion,6332-8,Upholstered Medium Back Weight Sensing Synchro-Tilter,Task Seating,TRUE,
Vion,6333-6,Armless Upholstered Medium Back Task,Task Seating,TRUE,
Vion,GC6322-0,Mesh Medium Back Synchro-Tilter,Task Seating,TRUE,
Vion,GC6322-4,Mesh Medium Back Tilter,Task Seating,TRUE,
Vion,GC6331-0,Upholstered High Back Synchro-Tilter ,Task Seating,TRUE,
Vion,GC6331-4,Upholstered High Back Tilter,Task Seating,TRUE,
Vion,6324,Armless Mesh Low Back Side Chair,Armless Guest Seating,TRUE,
Vion,6324C,"Armless Mesh Low Back Side Chair, Casters",Armless Guest Seating,TRUE,
Vion,6325,Mesh Low Back Armchair,Guest Seating,TRUE,
Vion,6325C,"Mesh Low Back Armchair, Casters",Guest Seating,TRUE,
Vion,6334,Armless Upholstered Low Back Side Chair ,Armless Guest Seating,TRUE,
Vion,6334C,"Armless Upholstered Low Back Side Chair, Casters",Armless Guest Seating,TRUE,
Vion,6335,Upholstered Low Back Armchair,Guest Seating,TRUE,
Vion,6335C,"Upholstered Low Back Armchair, Casters",Guest Seating,TRUE,
Vion,6321-4PB,"Mesh High Back Tilter, Pedestal Base ",Pedestal Base,TRUE,
Vion,6322-4PB,"Mesh Medium Back Tilter, Pedestal Base",Pedestal Base,TRUE,
Vion,6331-4PB,"Upholstered High Back Tilter, Pedestal Base",Pedestal Base,TRUE,
Vion,6332-4PB,"Upholstered Medium Back Tilter, Pedestal Base",Pedestal Base,TRUE,
Vion,6364-6PB,"Armless Mesh Low Back Task, Pedestal Base",Armless Pedestal Base,TRUE,
Vion,6364-6LPB,"Armless Mesh Low Back Task with Left Tablet, Pedestal Base",Armless Pedestal Base,TRUE,
Vion,6364-6RPB,"Armless Mesh Low Back Task with Right Tablet, Pedestal Base",Armless Pedestal Base,TRUE,
Vion,6374-6PB,"Armless Upholstered Low Back Task, Pedestal Base",Armless Pedestal Base,TRUE,
Vion,6374-6LPB,"Armless Upholstered Low Back Task with Left Tablet, Pedestal Base",Armless Pedestal Base,TRUE,
Vion,6374-6RPB,"Armless Upholstered Low Back Task with Right Tablet, Pedestal Base",Armless Pedestal Base,TRUE,
Vion,S6328-6,Mesh Medium Back Heavy Duty Height Adjustable Stool,Heavy Duty + 24HR Seating ,TRUE,
Vion,S6338-6,Upholstered Medium Back Heavy Duty Height Adjustable Stool,Heavy Duty + 24HR Seating ,TRUE,
Vion,TS6321-3,Mesh High Back Heavy Duty Multi-Tilter,Heavy Duty + 24HR Seating ,TRUE,
Vion,TS6322-3,Mesh Medium Back Heavy Duty Multi-Tilter,Heavy Duty + 24HR Seating ,TRUE,
Vion,TS6331-3,Upholstered High Back Heavy Duty Multi-Tilter,Heavy Duty + 24HR Seating ,TRUE,
Vion,TS6332-3,Upholstered Medium Back Heavy Duty Multi-Tilter,Heavy Duty + 24HR Seating ,TRUE,
Vion,6327-6,Armless Mesh Medium Back Height Adjustable Stool,Armless Stools,TRUE,
Vion,6328-6,Mesh Medium Back Height Adjustable Stool,Stools,TRUE,
Vion,6337-6,Armless Upholstered Medium Back Height Adjustable Stool,Armless Stools,TRUE,
Vion,6338-6,Upholstered Medium Back Height Adjustable Stool,Stools,TRUE,
Vion,6350,Mesh Back Bar Height Stool,Stools,TRUE,
Vion,6351,Armless Mesh Back Bar Height Stool,Armless Stools,TRUE,
Vion,6352,Mesh Back Counter Height Stool,Stools,TRUE,
Vion,6353,Armless Mesh Back Counter Height Stool,Armless Stools,TRUE,
Vion,6360,Upholstered Back Bar Height Stool,Stools,TRUE,
Vion,6361,Armless Upholstered Back Bar Height Stool,Armless Stools,TRUE,
Vion,6362,Upholstered Back Counter Height Stool,Stools,TRUE,
Vion,6363,Armless Upholstered Back Counter Height Stool,Armless Stools,TRUE,
Factor,5540,High Back,Task Seating,TRUE,
Factor,5540NA,"High Back, Armless",Task Seating,TRUE,
Factor,5541,Medium Back,Task Seating,TRUE,
Factor,5541NA,"Medium Back, Armless",Task Seating,TRUE,
Factor,5546,Medium Back Stool,Stools,TRUE,
Factor,5546NA,"Medium Back Stool, Armless",Armless Stools,TRUE,
Factor,5545AM,Mesh Back Armchair,Armchairs,TRUE,
Factor,5545AMC,"Mesh Back Armchair, Casters",Armchairs,TRUE,
Factor,5545NM,Armless Mesh Back Chair ,Armless Chairs,TRUE,
Factor,5545NMC,"Armless Mesh Back Chair, Casters",Armless Chairs,TRUE,
Sora,6941,High Back Weight Sensing Synchro-Tilter,Task Seating,TRUE,
Sora,6942,Medium Back Weight Sensing Synchro-Tilter ,Task Seating,TRUE,
G1 Ergo Select,7331,Medium Back,Task Seating,TRUE,
G1 Ergo Select,7332,High Back,Task Seating,TRUE,
G1 Ergo Select,7333,Extended High Back,Task Seating,TRUE,
G1 Ergo Select,7336,Medium Back Stool,Stools,TRUE,
G1 Ergo Select,7336NA,Armless Medium Back Stool,Armless Stools,TRUE,
G1 Ergo Select,TS7331,Medium Back Heavy Duty,Heavy Duty Seating,TRUE,
G1 Ergo Select,TS7332,High Back Heavy Duty ,Heavy Duty Seating,TRUE,
G1 Ergo Select,TS7333,Extended High Back Heavy Duty,Heavy Duty Seating,TRUE,
Novello,6400,"Task, Upholstered Seat & Polypropylene Back",Task Seating,TRUE,
Novello,6401,"Armless Task, Upholstered Seat & Polypropylene Back ",Task Seating,TRUE,
Novello,6402,"Task, Upholstered Seat & Back",Task Seating,TRUE,
Novello,6403,"Armless Task, Upholstered Seat & Back",Task Seating,TRUE,
Novello,6410,"Height Adjustable Stool, Upholstered Seat & Polypropylene Back",Stools,TRUE,
Novello,6411,"Armless Height Adjustable Stool, Upholstered Seat & Polypropylene Back",Armless Stools,TRUE,
Novello,6412,"Height Adjustable Stool, Upholstered Seat & Back",Stools,TRUE,
Novello,6413,"Armless Height Adjustable Stool, Upholstered Seat & Back",Armless Stools,TRUE,
Novello,6400PB,"Task Chair, Upholstered Seat & Polypropylene Back, Pedestal Base ",Pedestal Base,TRUE,
Novello,6401PB,"Armless Task Chair, Upholstered Seat & Polypropylene Back, Pedestal Base",Armless Pedestal Base,TRUE,
Novello,6402PB,"Task Chair, Upholstered Seat & Back, Pedestal Base",Pedestal Base,TRUE,
Novello,6403PB,"Armless Task Chair, Upholstered Seat & Back, Pedestal Base",Armless Pedestal Base,TRUE,
Drift,8026,Ottoman ,Ottomans,TRUE,
Drift,8026S,"Ottoman, Sealed Seams",Ottomans,TRUE,
Drift,8023,"Side Chair, Sled Base",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8023F,"Side Chair, Sled Base, Flip Forward Seat",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8023P,"Side Chair, Sled Base, Arm Patches",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8023PF,"Side Chair, Sled Base, Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8024,"Low Back Lounge, Sled Base",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8024F,"Low Back Lounge, Sled Base, Flip Forward Seat",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8024P,"Low Back Lounge, Sled Base, Arm Patches",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8024PF,"Low Back Lounge, Sled Base, Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8016,"Mid Back Lounge, Sled Base",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8016F,"Mid Back Lounge, Sled Base, Flip Forward Seat",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8016P,"Mid Back Lounge, Sled Base, Arm Patches",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8016PF,"Mid Back Lounge, Sled Base, Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8028,"High Back Lounge, Sled Base",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8028F,"High Back Lounge, Sled Base, Flip Forward Seat",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8028P,"High Back Lounge, Sled Base, Arm Patches ",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8028PF,"High Back Lounge, Sled Base, Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8028PH,"High Back Lounge, Sled Base, Head & Arm Patches",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8028PHF,"High Back Lounge, Sled Base, Head & Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Sled Base,TRUE,
Drift,8030,"Side Chair, Four Leg Wood Base",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8030F,"Side Chair, Four Leg Wood Base, Flip Forward Seat",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8030P,"Side Chair, Four Leg Wood Base, Arm Patches",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8030PF,"Side Chair, Four Leg Wood Base, Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8025,"Low Back Lounge, Four Leg Wood Base",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8025F,"Low Back Lounge, Four Leg Wood Base, Flip Forward Seat",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8025P,"Low Back Lounge, Four Leg Wood Base, Arm Patches",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8025PF,"Low Back Lounge, Four Leg Wood Base, Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8027,"Mid Back Lounge, Four Leg Wood Base",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8027F,"Mid Back Lounge, Four Leg Wood Base, Flip Forward Seat",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8027P,"Mid Back Lounge, Four Leg Wood Base, Arm Patches",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8027PF,"Mid Back Lounge, Four Leg Wood Base, Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8029,"High Back Lounge, Four Leg Wood Base",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8029F,"High Back Lounge, Four Leg Wood Base, Flip Forward Seat",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8029P,"High Back Lounge, Four Leg Wood Base, Arm Patches",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8029PF,"High Back Lounge, Four Leg Wood Base, Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8029PH,"High Back Lounge, Four Leg Wood Base, Head & Arm Patches",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
Drift,8029PHF,"High Back Lounge, Four Leg Wood Base, Head & Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Four Leg Wood Base,TRUE,
